Transponder,Date,"Start time",Lap,"Total time",Laptime,MRCP,Speed,Diff
,,,,,,,,
6282793,13-09-2026,13:47:15,1,0:00:49.094,0:00:49.094,0:00:49.094,"19.065 km/h",
,,,,,,,,
6282793,13-09-2026,13:49:45,1,0:00:57.228,0:00:57.228,0:00:57.228,"16.356 km/h",
6282793,13-09-2026,13:50:42,2,0:01:49.922,0:00:52.694,0:00:52.694,"17.763 km/h",-0:00:04.534
6282793,13-09-2026,13:51:35,3,0:02:40.513,0:00:50.591,0:00:50.591,"18.501 km/h",-0:00:02.103
,,,,,,,,
6282793,13-09-2026,13:54:06,1,0:00:50.737,0:00:50.737,0:00:50.737,"18.448 km/h",
,,,,,,,,
6282793,13-09-2026,14:05:53,1,0:00:53.306,0:00:53.306,0:00:53.306,"17.559 km/h",
,,,,,,,,
6282793,13-09-2026,14:09:07,1,0:00:49.691,0:00:49.691,0:00:49.691,"18.836 km/h",
6282793,13-09-2026,14:09:57,2,0:01:43.731,0:00:54.040,0:00:54.040,"17.321 km/h",0:00:04.349
,,,,,,,,
6282793,13-09-2026,14:12:11,1,0:00:48.635,0:00:48.635,0:00:48.635,"19.245 km/h",
,,,,,,,,
6282793,13-09-2026,14:39:27,1,0:00:49.713,0:00:49.713,0:00:49.713,"18.828 km/h",
6282793,13-09-2026,14:40:16,2,0:01:34.491,0:00:44.778,0:00:44.778,"20.903 km/h",-0:00:04.935
,,,,,,,,
6282793,13-09-2026,14:47:35,1,0:00:46.998,0:00:46.998,0:00:46.998,"19.916 km/h",
6282793,13-09-2026,14:48:22,2,0:01:34.616,0:00:47.618,0:00:47.618,"19.656 km/h",0:00:00.620
6282793,13-09-2026,14:49:10,3,0:02:26.749,0:00:52.133,0:00:52.133,"17.954 km/h",0:00:04.515
6282793,13-09-2026,14:50:02,4,0:03:15.019,0:00:48.270,0:00:48.270,"19.391 km/h",-0:00:03.863
6282793,13-09-2026,14:50:50,5,0:04:01.814,0:00:46.795,0:00:46.795,"20.002 km/h",-0:00:01.475
6282793,13-09-2026,14:51:37,6,0:04:48.833,0:00:47.019,0:00:47.019,"19.907 km/h",0:00:00.224
6282793,13-09-2026,14:52:24,7,0:05:35.604,0:00:46.771,0:00:46.771,"20.012 km/h",-0:00:00.248
6282793,13-09-2026,14:53:11,8,0:06:24.680,0:00:49.076,0:00:49.076,"19.072 km/h",0:00:02.305
