Transponder,Date,"Start time",Lap,"Total time",Laptime,MRCP,Speed,Diff
,,,,,,,,
8931925,03-09-2026,19:22:56,1,0:00:40.310,0:00:40.310,0:00:40.310,"23.220 km/h",
8931925,03-09-2026,19:23:36,2,0:01:20.962,0:00:40.652,0:00:40.652,"23.025 km/h",0:00:00.342
8931925,03-09-2026,19:24:17,3,0:02:01.677,0:00:40.715,0:00:40.715,"22.989 km/h",0:00:00.063
8931925,03-09-2026,19:24:58,4,0:02:53.943,0:00:52.266,0:00:52.266,"17.908 km/h",0:00:11.551
8931925,03-09-2026,19:25:50,5,0:03:45.767,0:00:51.824,0:00:51.824,"18.061 km/h",-0:00:00.442
,,,,,,,,
8931925,03-09-2026,19:29:49,1,0:00:40.112,0:00:40.112,0:00:40.112,"23.335 km/h",
8931925,03-09-2026,19:30:29,2,0:01:20.763,0:00:40.651,0:00:40.651,"23.025 km/h",0:00:00.539
8931925,03-09-2026,19:31:10,3,0:02:01.016,0:00:40.253,0:00:40.253,"23.253 km/h",-0:00:00.398
8931925,03-09-2026,19:31:50,4,0:02:51.920,0:00:50.904,0:00:50.904,"18.388 km/h",0:00:10.651
8931925,03-09-2026,19:32:41,5,0:03:31.834,0:00:39.914,0:00:39.914,"23.450 km/h",-0:00:10.990
8931925,03-09-2026,19:33:21,6,0:04:12.185,0:00:40.351,0:00:40.351,"23.196 km/h",0:00:00.437
8931925,03-09-2026,19:34:01,7,0:04:53.809,0:00:41.624,0:00:41.624,"22.487 km/h",0:00:01.273
8931925,03-09-2026,19:34:43,8,0:05:34.911,0:00:41.102,0:00:41.102,"22.773 km/h",-0:00:00.522
8931925,03-09-2026,19:35:24,9,0:06:16.385,0:00:41.474,0:00:41.474,"22.568 km/h",0:00:00.372
,,,,,,,,
8931925,03-09-2026,20:04:02,1,0:00:40.668,0:00:40.668,0:00:40.668,"23.016 km/h",
8931925,03-09-2026,20:04:43,2,0:01:24.251,0:00:43.583,0:00:43.583,"21.476 km/h",0:00:02.915
8931925,03-09-2026,20:05:26,3,0:02:03.558,0:00:39.307,0:00:39.307,"23.813 km/h",-0:00:04.276
