Transponder,Date,"Start time",Lap,"Total time",Laptime,MRCP,Speed,Diff
,,,,,,,,
8046737,25-05-2026,14:51:24,1,0:00:34.544,0:00:34.544,0:00:34.544,"27.096 km/h",
8046737,25-05-2026,14:51:59,2,0:01:08.772,0:00:34.228,0:00:34.228,"27.346 km/h",-0:00:00.316
8046737,25-05-2026,14:52:33,3,0:01:42.507,0:00:33.735,0:00:33.735,"27.746 km/h",-0:00:00.493
8046737,25-05-2026,14:53:07,4,0:02:17.107,0:00:34.600,0:00:34.600,"27.052 km/h",0:00:00.865
8046737,25-05-2026,14:53:42,5,0:02:55.256,0:00:38.149,0:00:38.149,"24.535 km/h",0:00:03.549
,,,,,,,,
8046737,25-05-2026,14:56:19,1,0:00:33.389,0:00:33.389,0:00:33.389,"28.033 km/h",
8046737,25-05-2026,14:56:53,2,0:01:07.181,0:00:33.792,0:00:33.792,"27.699 km/h",0:00:00.403
8046737,25-05-2026,14:57:26,3,0:01:40.258,0:00:33.077,0:00:33.077,"28.298 km/h",-0:00:00.715
8046737,25-05-2026,14:58:00,4,0:02:14.481,0:00:34.223,0:00:34.223,"27.350 km/h",0:00:01.146
8046737,25-05-2026,14:58:34,5,0:02:51.106,0:00:36.625,0:00:36.625,"25.556 km/h",0:00:02.402
8046737,25-05-2026,14:59:10,6,0:03:26.968,0:00:35.862,0:00:35.862,"26.100 km/h",-0:00:00.763
8046737,25-05-2026,14:59:46,7,0:04:02.244,0:00:35.276,0:00:35.276,"26.534 km/h",-0:00:00.586
8046737,25-05-2026,15:00:21,8,0:04:36.769,0:00:34.525,0:00:34.525,"27.111 km/h",-0:00:00.751
8046737,25-05-2026,15:00:56,9,0:05:12.832,0:00:36.063,0:00:36.063,"25.955 km/h",0:00:01.538
8046737,25-05-2026,15:01:32,10,0:05:52.922,0:00:40.090,0:00:40.090,"23.347 km/h",0:00:04.027
,,,,,,,,
8046737,25-05-2026,15:57:34,1,0:00:36.314,0:00:36.314,0:00:36.314,"25.775 km/h",
8046737,25-05-2026,15:58:11,2,0:01:10.612,0:00:34.298,0:00:34.298,"27.290 km/h",-0:00:02.016
8046737,25-05-2026,15:58:45,3,0:01:45.052,0:00:34.440,0:00:34.440,"27.178 km/h",0:00:00.142
8046737,25-05-2026,15:59:19,4,0:02:18.895,0:00:33.843,0:00:33.843,"27.657 km/h",-0:00:00.597
8046737,25-05-2026,15:59:53,5,0:02:56.595,0:00:37.700,0:00:37.700,"24.828 km/h",0:00:03.857
8046737,25-05-2026,16:00:31,6,0:03:31.882,0:00:35.287,0:00:35.287,"26.525 km/h",-0:00:02.413
8046737,25-05-2026,16:01:06,7,0:04:07.460,0:00:35.578,0:00:35.578,"26.308 km/h",0:00:00.291
8046737,25-05-2026,16:01:42,8,0:04:41.994,0:00:34.534,0:00:34.534,"27.104 km/h",-0:00:01.044
8046737,25-05-2026,16:02:16,9,0:05:31.002,0:00:49.008,0:00:49.008,"19.099 km/h",0:00:14.474
8046737,25-05-2026,16:03:05,10,0:06:29.133,0:00:58.131,0:00:58.131,"16.102 km/h",0:00:09.123
,,,,,,,,
8046737,25-05-2026,16:37:21,1,0:00:52.368,0:00:52.368,0:00:52.368,"17.874 km/h",
8046737,25-05-2026,16:38:13,2,0:01:27.400,0:00:35.032,0:00:35.032,"26.718 km/h",-0:00:17.336
,,,,,,,,
8046737,25-05-2026,16:41:59,1,0:00:48.730,0:00:48.730,0:00:48.730,"19.208 km/h",
8046737,25-05-2026,16:42:48,2,0:01:23.551,0:00:34.821,0:00:34.821,"26.880 km/h",-0:00:13.909
8046737,25-05-2026,16:43:22,3,0:01:57.511,0:00:33.960,0:00:33.960,"27.562 km/h",-0:00:00.861
,,,,,,,,
8046737,25-05-2026,16:46:24,1,0:00:33.968,0:00:33.968,0:00:33.968,"27.555 km/h",
