Transponder,Date,"Start time",Lap,"Total time",Laptime,MRCP,Speed,Diff
,,,,,,,,
6108107,21-06-2026,08:54:45,1,0:00:41.906,0:00:41.906,0:00:41.906,"22.336 km/h",
6108107,21-06-2026,08:55:27,2,0:01:31.965,0:00:50.059,0:00:50.059,"18.698 km/h",0:00:08.153
6108107,21-06-2026,08:56:17,3,0:02:16.670,0:00:44.705,0:00:44.705,"20.937 km/h",-0:00:05.354
6108107,21-06-2026,08:57:02,4,0:02:55.653,0:00:38.983,0:00:38.983,"24.010 km/h",-0:00:05.722
6108107,21-06-2026,08:57:41,5,0:03:33.972,0:00:38.319,0:00:38.319,"24.427 km/h",-0:00:00.664
6108107,21-06-2026,08:58:19,6,0:04:18.969,0:00:44.997,0:00:44.997,"20.801 km/h",0:00:06.678
,,,,,,,,
6108107,21-06-2026,09:00:17,1,0:00:38.670,0:00:38.670,0:00:38.670,"24.205 km/h",
,,,,,,,,
6108107,21-06-2026,09:03:50,1,0:00:38.074,0:00:38.074,0:00:38.074,"24.584 km/h",
6108107,21-06-2026,09:04:28,2,0:01:16.824,0:00:38.750,0:00:38.750,"24.155 km/h",0:00:00.676
6108107,21-06-2026,09:05:07,3,0:01:55.300,0:00:38.476,0:00:38.476,"24.327 km/h",-0:00:00.274
6108107,21-06-2026,09:05:45,4,0:02:32.936,0:00:37.636,0:00:37.636,"24.870 km/h",-0:00:00.840
6108107,21-06-2026,09:06:23,5,0:03:11.612,0:00:38.676,0:00:38.676,"24.201 km/h",0:00:01.040
,,,,,,,,
6108107,21-06-2026,09:09:24,1,0:00:38.344,0:00:38.344,0:00:38.344,"24.411 km/h",
6108107,21-06-2026,09:10:03,2,0:01:16.305,0:00:37.961,0:00:37.961,"24.657 km/h",-0:00:00.383
6108107,21-06-2026,09:10:41,3,0:01:57.414,0:00:41.109,0:00:41.109,"22.769 km/h",0:00:03.148
6108107,21-06-2026,09:11:22,4,0:02:34.707,0:00:37.293,0:00:37.293,"25.099 km/h",-0:00:03.816
6108107,21-06-2026,09:11:59,5,0:03:16.500,0:00:41.793,0:00:41.793,"22.396 km/h",0:00:04.500
,,,,,,,,
6108107,21-06-2026,09:21:11,1,0:00:39.294,0:00:39.294,0:00:39.294,"23.820 km/h",
6108107,21-06-2026,09:21:50,2,0:01:19.823,0:00:40.529,0:00:40.529,"23.095 km/h",0:00:01.235
6108107,21-06-2026,09:22:31,3,0:01:57.247,0:00:37.424,0:00:37.424,"25.011 km/h",-0:00:03.105
6108107,21-06-2026,09:23:08,4,0:02:34.893,0:00:37.646,0:00:37.646,"24.863 km/h",0:00:00.222
,,,,,,,,
6108107,21-06-2026,09:50:30,1,0:00:41.048,0:00:41.048,0:00:41.048,"22.803 km/h",
6108107,21-06-2026,09:51:11,2,0:01:26.054,0:00:45.006,0:00:45.006,"20.797 km/h",0:00:03.958
6108107,21-06-2026,09:51:56,3,0:02:03.836,0:00:37.782,0:00:37.782,"24.774 km/h",-0:00:07.224
6108107,21-06-2026,09:52:34,4,0:02:42.487,0:00:38.651,0:00:38.651,"24.217 km/h",0:00:00.869
6108107,21-06-2026,09:53:13,5,0:03:20.469,0:00:37.982,0:00:37.982,"24.643 km/h",-0:00:00.669
