Transponder,Date,"Start time",Lap,"Total time",Laptime,MRCP,Speed,Diff
,,,,,,,,
8931925,22-08-2026,13:50:23,1,0:00:38.098,0:00:38.098,0:00:38.098,"24.568 km/h",
,,,,,,,,
8931925,22-08-2026,14:00:34,1,0:00:43.648,0:00:43.648,0:00:43.648,"21.444 km/h",
,,,,,,,,
8931925,22-08-2026,14:15:22,1,0:00:39.528,0:00:39.528,0:00:39.528,"23.679 km/h",
8931925,22-08-2026,14:16:02,2,0:01:24.823,0:00:45.295,0:00:45.295,"20.665 km/h",0:00:05.767
8931925,22-08-2026,14:16:47,3,0:02:02.524,0:00:37.701,0:00:37.701,"24.827 km/h",-0:00:07.594
,,,,,,,,
8931925,22-08-2026,14:28:58,1,0:00:40.413,0:00:40.413,0:00:40.413,"23.161 km/h",
,,,,,,,,
8931925,22-08-2026,14:30:46,1,0:00:40.378,0:00:40.378,0:00:40.378,"23.181 km/h",
,,,,,,,,
8931925,22-08-2026,14:39:54,1,0:00:39.304,0:00:39.304,0:00:39.304,"23.814 km/h",
8931925,22-08-2026,14:40:33,2,0:01:20.502,0:00:41.198,0:00:41.198,"22.720 km/h",0:00:01.894
8931925,22-08-2026,14:41:14,3,0:02:02.496,0:00:41.994,0:00:41.994,"22.289 km/h",0:00:00.796
8931925,22-08-2026,14:41:56,4,0:02:41.288,0:00:38.792,0:00:38.792,"24.129 km/h",-0:00:03.202
8931925,22-08-2026,14:42:35,5,0:03:19.944,0:00:38.656,0:00:38.656,"24.214 km/h",-0:00:00.136
,,,,,,,,
8931925,22-08-2026,14:53:20,1,0:00:41.479,0:00:41.479,0:00:41.479,"22.566 km/h",
8931925,22-08-2026,14:54:01,2,0:01:23.236,0:00:41.757,0:00:41.757,"22.415 km/h",0:00:00.278
,,,,,,,,
8931925,22-08-2026,14:56:17,1,0:00:47.794,0:00:47.794,0:00:47.794,"19.584 km/h",
,,,,,,,,
8931925,22-08-2026,16:44:44,1,0:00:39.731,0:00:39.731,0:00:39.731,"23.558 km/h",
8931925,22-08-2026,16:45:24,2,0:01:21.687,0:00:41.956,0:00:41.956,"22.309 km/h",0:00:02.225
,,,,,,,,
8931925,22-08-2026,16:47:43,1,0:00:43.254,0:00:43.254,0:00:43.254,"21.640 km/h",
,,,,,,,,
8931925,22-08-2026,16:50:04,1,0:00:41.279,0:00:41.279,0:00:41.279,"22.675 km/h",
8931925,22-08-2026,16:50:45,2,0:01:21.288,0:00:40.009,0:00:40.009,"23.395 km/h",-0:00:01.270
8931925,22-08-2026,16:51:25,3,0:02:01.025,0:00:39.737,0:00:39.737,"23.555 km/h",-0:00:00.272
,,,,,,,,
8931925,22-08-2026,16:53:06,1,0:00:57.219,0:00:57.219,0:00:57.219,"16.358 km/h",
8931925,22-08-2026,16:54:03,2,0:01:39.053,0:00:41.834,0:00:41.834,"22.374 km/h",-0:00:15.385
8931925,22-08-2026,16:54:45,3,0:02:22.111,0:00:43.058,0:00:43.058,"21.738 km/h",0:00:01.224
8931925,22-08-2026,16:55:28,4,0:03:01.834,0:00:39.723,0:00:39.723,"23.563 km/h",-0:00:03.335
8931925,22-08-2026,16:56:07,5,0:03:41.532,0:00:39.698,0:00:39.698,"23.578 km/h",-0:00:00.025
